NOME	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
ALESSIO	1.6865124452726	1.5982609520266	1.6648233949758	1.5273385876628	1.5466674481819	1.4930832785225	1.3923437132492	1.3206976154951	1.3423522992767	1.2251033446073	1.2462809229553	1.0994059461924	1.079730873051	1.1110448517737	0.94319718056717	0.95933911321066	0.90845449432064	0.88286175291515	0.81931035664854	0.77264348148213	0.71991516119839	0.66790996226742	0.61064901593252
FEDERICO	1.6342468451272	1.6051908831285	1.628447867255	1.6134791587674	1.6583997010704	1.4828831807422	1.431900957214	1.4287322992033	1.6004700681319	1.4970448566841	1.5122512813044	1.5803739605825	1.4496522372917	1.3752953717025	1.3089107518227	1.2945772383924	1.2989482970019	1.2563002145816	1.366517116816	1.2864161161435	1.3249055140549	1.2466688833953	1.2427756950953
GIOVANNI	1.5505461376479	1.5118191798609	1.4829457563721	1.444142993348	1.4177174382908	1.3805304754301	1.429049984676	1.3287914191605	1.2930371157962	1.2978716135424	1.2948283156135	1.253838732591	1.216711655453	1.1934134905667	1.2327204244778	1.1695998365075	1.1998073833678	1.1606533925512	1.1432636148213	1.1708723991639	1.1174802502184	1.109809987808	1.0792525773196
GABRIELE	1.5297156448363	1.6132150138781	1.8503753293088	1.9771837923202	2.1921501681479	2.019619360489	2.0323870480318	2.0199318712874	2.1506316540522	2.4221926138499	2.3809028427966	2.3712677270816	2.3627353670462	2.3242119072999	2.2657831193492	2.1839604474034	2.2130679863873	2.1849060997721	2.1978257422858	2.0819919384002	2.0611717658711	2.0417997908565	1.9251796313652
MICHELE	1.3676165371389	1.2864140524413	1.3032726952061	1.1938199662064	1.1744708287236	1.15050068411	1.0979807987	1.0697897018665	0.99504749646749	0.97229339619419	0.96817371644161	0.90822027698951	0.85228417285949	0.854993924847	0.84004719893099	0.87405579179865	0.84128146712366	0.82630537119284	0.83645074067884	0.82380024167159	0.8437162758756	0.83464650407444	0.82249687597626
DANIELE	1.2627066006151	1.2422813333187	1.2371353720776	1.2622906765716	1.275213023951	1.1796940674121	1.1795898876004	1.1271501365389	1.0496089760629	1.0539441768303	1.0333659294398	0.96052245636479	0.88048609864814	0.83486765111477	0.77753205854543	0.73650204758574	0.71057732384278	0.66245820649733	0.6337656995205	0.59050777494554	0.57976295590344	0.52864157908179	0.5125351452671
LEONARDO	1.0979563392871	1.1653226247661	1.1044932962474	1.2836417582984	1.3418860404288	1.26551557977	1.3534992124188	1.4941865375412	1.4252437778928	1.5298418229647	1.654425788375	1.8358771746928	2.0884075434658	2.0331263557282	2.1473950722441	2.3891120316295	2.4862113198691	2.7051416404678	2.8375905762169	3.3913403953183	3.6374169014216	4.1462462592705	4.1237113402062
FILIPPO	1.0165280492054	1.0300066016712	1.0288028042225	1.4312587198922	1.3887769531164	1.2581293020671	1.1756698003606	1.3755947186172	1.3671847675541	1.1950394588501	1.2022415024724	1.0806761116864	1.0354135610975	1.1371344658711	1.0232947041862	0.96405524158368	0.97279492398522	0.95771578754762	0.98257251453719	1.0002028630145	0.98760587331175	1.0399348474553	1.0314159637613
TOMMASO	0.76088109197231	0.78417641416186	0.91783907319565	1.0156488704173	1.1052334654582	1.66296766569	1.8563394938098	1.652543565778	1.5291204409687	1.48167127874	1.3898424983875	1.3566761258221	1.3866557277379	1.46884527368	1.6363337995921	1.7638320115074	1.7748246824456	1.7378611707171	1.7226085950456	1.84428940614056	1.9943658813471	2.0760145147533	2.427464073727
CHRISTIAN	0.79723977033435	0.80606040711522	0.74147287818607	0.86655942042857	0.81912563101248	0.7618417859316	0.77439541563616	1.1598772557079	1.3147218064047	1.2807898602713	1.1620165199842	1.1358054358927	1.141262347499	1.0573747884878	1.1182395736467	1.1416960769672	1.0970245586206	1.1573265465675	1.1694027004675	1.0989883309666	0.9974165276824	0.96765021950432	0.8483676975945
SAMUELE	0.7517914223818	0.95450682598214	1.0420302688482	1.1054706625093	1.2404111746906	1.193411440289	1.1318360975888	1.0894963542693	1.1045202087326	1.1027979911858	1.0631878992156	1.2170858497867	1.2606627086302	1.2150305993902	1.249130648829	1.2163681095399	1.154081166059	1.1215629522431	1.0892714051258	1.0178431251488	1.0707628484534	1.0351158722586	1.0860863792565
PIETRO	0.78587768334621	0.86806505381639	0.9575214670728	0.9030035082036	0.94990731718039	0.90218106228742	1.00853153532	1.0504349539709	1.0254760139342	1.0409620443442	1.0763650486514	1.0866837944524	1.1972999402998	1.209439967798	1.1565300971329	1.0768493118383	1.1342529833322	1.0778980987075	1.083700780316	1.0694408918917	1.102063507636	1.0736676738325	1.0968252108716
DIEGO	0.39843051705071	0.39537080602393	0.37881988969764	0.37143519762635	0.40516679244177	0.4322731093767	0.82143646251327	0.74744517327778	0.75791491207208	0.74886406340747	0.85755501459889	1.0898643323874	1.042006219074	1.0622200025344	1.1420734709187	1.1790320932536	1.1731000352051	1.2508940898581	1.2606752454289	1.272303906436	1.28613007059	1.3869010616202	1.4380271790066
EDOARDO	0.80254207759548	0.77578755019641	0.75396548366592	0.81465420450655	0.89275901734231	0.8297251952967	0.89805634947221	0.95964359111511	0.93209194308818	0.9562365481193	0.93869851375625	0.99515498054571	1.0515289472624	1.1065723464999	1.1225374895483	1.2930051956014	1.3782610279092	1.4783671839912	1.5991978300274	1.6652407454775	1.7056523384395	1.8239821119641	2.1326343330209
